year,NY,Chicago,Seattle,LA,SanFran,All
2006,220.7416666666670000,198.3250000000000000,207.9833333333330000,210.4,209.5333333333330000,85.0536740683861000
2007,226.9400833333330000,204.8175833333330000,216.0586666666670000,217.338,216.3878333333330000,87.4799768230408000
2008,235.7824166666670000,212.5355833333330000,224.8720000000000000,225.008,222.7716666666670000,90.8384208727644000
2009,236.8245833333330000,209.9950833333330000,226.1538333333330000,223.219,224.6338333333330000,90.5154482589856000
2010,240.8641666666670000,212.8704166666670000,226.7456666666670000,225.894,227.6118333333330000,91.9999409325069000
2011,247.7175833333330000,218.6841666666670000,233.0973333333330000,231.928,233.6690000000000000,94.9042333109721000
2012,252.5883333333330000,222.0047500000000000,238.7960000000000000,236.648,239.8680000000000000,96.8681219771859000
2013,256.8330833333330000,224.5451666666670000,241.6916666666670000,239.207,245.2811666666670000,98.2870778608004000
2014,260.2295833333330000,228.4677500000000000,246.1861666666670000,242.434,252.2595000000000000,99.8815134216814000
2015,260.5581666666670000,227.7923333333330000,249.5936666666670000,244.632,258.8123333333330000,100.0000000000000000
2016,263.3649166666670000,229.3017500000000000,255.2540000000000000,249.246,266.8080000000000000,101.2615832057050000
2017,268.5204166666670000,233.6113333333330000,263.1091666666670000,256.210,275.3993333333330000,103.4185663194340000
2018,273.6405000000000000,237.7062500000000000,271.4096666666670000,265.962,286.3375000000000000,105.9446509462750000
2019,278.1641666666670000,241.1806666666670000,278.1815000000000000,274.114,295.3711666666670000,107.8645905849230000
2020,282.9195833333330000,243.8727500000000000,282.7455000000000000,278.567,300.4436666666670000,109.1951913435180000
2021,292.3025833333330000,254.1590833333330000,296.875,289.244,310.590,114.3250273187160000