area,area_name,occ_code,occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,year,occ
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",27-2032,Choreographers,,,19.47,40490,9.4,9.31,13.99,18.32,24.27,33.16,19370,29090,38100,50480,68970,2008,choreo
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9031,Fitness trainers and aerobics instructors,9890,8.2,16.88,35110,4.8,7.80,9.01,12.14,23.60,31.98,16230,18730,25260,49090,66510,2008,fit_trainer
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9032,Recreation workers,10210,9.3,11.57,24070,2.0,7.76,8.12,9.84,12.96,17.40,16150,16900,20460,26960,36200,2008,rec_worker
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,All Occupations,8455130,0.3,25.39,52820,0.4,8.83,12.18,19.37,31.54,48.73,18360,25340,40280,65590,101360,2008,all_jobs
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2031,Dancers,1340,25.8,20.01,,8.0,7.79,10.99,15.79,26.98,37.60,,,,,,2008,dancer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2032,Choreographers,470,49.7,34.13,70990,7.1,21.02,24.25,29.94,36.65,48.59,43720,50430,62280,76230,101070,2008,choreo
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9031,Fitness trainers and aerobics instructors,19010,5.1,23.71,49310,3.1,8.68,12.46,22.36,31.58,42.63,18050,25910,46500,65680,88670,2008,fit_trainer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9032,Recreation workers,20390,5.8,12.68,26370,1.2,7.92,9.47,11.57,14.93,18.96,16480,19690,24060,31060,39440,2008,rec_worker
Seattle,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,1728170,0.6,24.21,50350,2.1,9.81,13.08,19.42,30.57,44.67,20400,27210,40390,63590,92920,2008,all_jobs
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2031,Dancers,320,41.7,18.52,,17.9,8.21,11.27,13.06,28.22,30.89,,,,,,2008,dancer
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2032,Choreographers,,,22.88,47590,20.0,11.85,17.97,25.66,28.66,30.49,24650,37380,53360,59620,63420,2008,choreo
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9031,Fitness trainers and aerobics instructors,3780,18.0,18.63,38750,5.4,8.86,10.23,16.11,26.08,32.32,18440,21280,33510,54250,67220,2008,fit_trainer
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9032,Recreation workers,2950,10.2,13.14,27320,2.3,8.63,9.91,12.11,15.24,19.39,17950,20620,25180,31690,40330,2008,rec_worker
All,U.S. all,00-0000,All Occupations,130647610,0.1,         20.90,         43460,0.1,          8.24,         10.55,         15.95,         25.44,         39.02,         17140,         21940,         33190,         52920,         81160,2009,all_jobs
All,U.S. all,27-2031,Dancers,10700,6.1,         16.37,,3.1,          7.54,          8.67,         13.74,         20.82,         29.18,,,,,,2009,dancer
All,U.S. all,27-2032,Choreographers,14700,5.5,         20.25,         42130,2.0,          8.75,         12.05,         18.20,         26.83,         33.21,         18210,         25050,         37860,         55800,         69070,2009,choreo
All,U.S. all,39-9031,Fitness trainers and aerobics instructors,228170,1.4,         16.99,         35340,0.9,          7.90,          9.55,         14.74,         21.98,         29.86,         16430,         19860,         30670,         45720,         62120,2009,fit_trainer
All,U.S. all,39-9032,Recreation workers,286230,1.0,         12.04,         25040,0.4,          7.73,          8.72,         10.71,         13.97,         18.35,         16070,         18130,         22280,         29060,         38170,2009,rec_worker
LA,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,5395280,0.6,23.55,48990,0.8,8.92,11.01,17.49,29.35,45.42,18550,22900,36370,61050,94470,2009,all_jobs
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2031,Dancers,1340,28.5,13.58,,13.2,8.29,8.63,9.20,20.52,24.00,,,,,,2009,dancer
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2032,Choreographers,970,32.2,22.36,46500,9.3,11.41,13.93,18.81,28.10,34.40,23730,28970,39130,58450,71550,2009,choreo
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9031,Fitness trainers and aerobics instructors,8200,5.7,19.42,40400,2.7,11.77,14.14,18.01,23.81,29.84,24480,29400,37470,49530,62060,2009,fit_trainer
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9032,Recreation workers,13690,4.1,12.03,25030,1.6,8.67,9.55,11.31,13.63,16.33,18040,19860,23530,28350,33960,2009,rec_worker
SanFran,"San Francisco-Oakland-Fremont, CA",00-0000,All Occupations,1973500,0.8,28.01,58250,0.7,9.73,13.47,21.91,35.59,54.04,20240,28010,45580,74030,112400,2009,all_jobs
SanFran,"San Francisco-Oakland-Fremont, CA",27-2031,Dancers,470,38.4,17.12,,4.5,13.10,14.65,16.99,19.28,21.76,,,,,,2009,dancer
SanFran,"San Francisco-Oakland-Fremont, CA",27-2032,Choreographers,510,48.5,26.44,55000,7.3,14.24,18.13,27.19,32.14,39.26,29620,37720,56560,66840,81660,2009,choreo
SanFran,"San Francisco-Oakland-Fremont, CA",39-9031,Fitness trainers and aerobics instructors,5340,10.2,22.13,46020,3.1,12.55,16.69,20.48,27.20,33.26,26110,34710,42610,56570,69170,2009,fit_trainer
SanFran,"San Francisco-Oakland-Fremont, CA",39-9032,Recreation workers,5260,6.9,14.20,29540,2.8,9.24,10.67,13.21,16.88,20.64,19210,22200,27480,35100,42920,2009,rec_worker
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",00-0000,All Occupations,4319720,0.5,23.16,48180,1.0,8.47,10.86,17.50,29.41,43.99,17630,22590,36410,61160,91500,2009,all_jobs
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",27-2031,Dancers,330,24.4,15.48,,11.4,9.68,10.45,12.09,18.83,27.45,,,,,,2009,dancer
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",27-2032,Choreographers,280,35.3,22.42,46630,7.0,13.75,16.37,18.98,31.40,37.66,28590,34050,39470,65310,78330,2009,choreo
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9031,Fitness trainers and aerobics instructors,9260,7.5,18.41,38290,5.9,7.99,9.26,15.79,25.31,33.43,16620,19270,32840,52640,69530,2009,fit_trainer
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9032,Recreation workers,10730,7.1,11.97,24910,2.2,8.04,8.65,10.00,13.30,18.89,16730,18000,20810,27660,39300,2009,rec_worker
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,All Occupations,8245760,0.4,26.08,54240,0.5,8.92,12.29,19.77,32.47,49.81,18550,25570,41110,67530,103590,2009,all_jobs
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2031,Dancers,1470,15.0,23.92,,5.1,11.80,14.85,19.94,29.60,44.27,,,,,,2009,dancer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2032,Choreographers,,,33.52,69730,6.6,21.59,24.62,30.40,37.24,45.59,44900,51200,63240,77470,94840,2009,choreo
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9031,Fitness trainers and aerobics instructors,20040,6.8,24.75,51470,3.4,8.17,12.71,23.50,34.54,44.10,17000,26430,48890,71840,91730,2009,fit_trainer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9032,Recreation workers,21470,5.0,12.94,26910,1.3,8.08,9.57,11.60,15.06,19.59,16810,19900,24130,31320,40750,2009,rec_worker
Seattle,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,1670200,0.6,24.93,51850,2.4,9.92,13.35,20.02,31.60,45.83,20630,27770,41630,65720,95320,2009,all_jobs
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2031,Dancers,200,38.5,28.90,,12.2,14.77,20.23,28.56,32.52,44.39,,,,,,2009,dancer
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9031,Fitness trainers and aerobics instructors,3990,9.8,17.89,37210,4.2,9.11,11.10,17.62,21.85,29.11,18950,23090,36650,45460,60550,2009,fit_trainer
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9032,Recreation workers,2540,10.3,13.08,27200,3.1,9.01,9.95,11.94,14.75,18.77,18730,20700,24840,30680,39040,2009,rec_worker
All,U.S. all,00-0000,All Occupations,127097160.0,0.1,21.35,44410.0,0.1,8.51,10.65,16.27,26.08,39.97,17690.0,22150.0,33840.0,54250.0,83140.0,2010,all_jobs
All,U.S. all,27-2031,Dancers,11200.0,6.5,16.55,,3.2,7.79,8.83,13.16,21.48,30.43,,,,,,2010,dancer
All,U.S. all,27-2032,Choreographers,12390.0,6.3,20.25,42110.0,2.3,8.93,12.01,18.11,26.79,34.22,18570.0,24980.0,37660.0,55720.0,71180.0,2010,choreo
All,U.S. all,39-9031,Fitness Trainers and Aerobics Instructors,225490.0,1.3,17.27,35920.0,1.0,8.21,9.55,14.95,22.18,30.48,17070.0,19870.0,31090.0,46130.0,63400.0,2010,fit_trainer
All,U.S. all,39-9032,Recreation Workers,293430.0,1.0,12.15,25270.0,0.4,7.92,8.82,10.7,14.04,18.49,16470.0,18340.0,22260.0,29200.0,38460.0,2010,rec_worker
LA,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,5191880.0,0.5,24.1,50120.0,0.7,8.98,11.1,17.75,30.19,46.51,18680.0,23090.0,36920.0,62790.0,96730.0,2010,all_jobs
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2031,Dancers,,,13.55,,12.2,8.34,8.67,9.22,20.69,23.58,,,,,,2010,dancer
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2032,Choreographers,1070.0,37.9,22.66,47120.0,11.0,12.08,13.67,17.9,29.04,40.88,25130.0,28430.0,37240.0,60400.0,85030.0,2010,choreo
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9031,Fitness Trainers and Aerobics Instructors,7710.0,8.8,19.84,41280.0,3.9,11.52,14.28,17.81,23.86,31.6,23960.0,29690.0,37040.0,49630.0,65730.0,2010,fit_trainer
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9032,Recreation Workers,13510.0,3.8,12.09,25150.0,1.1,8.76,9.65,11.32,13.75,16.49,18210.0,20060.0,23550.0,28590.0,34290.0,2010,rec_worker
SanFran,"San Francisco-Oakland-Fremont, CA",00-0000,All Occupations,1900110.0,0.5,28.76,59820.0,0.7,9.94,13.77,22.29,36.36,55.71,20680.0,28640.0,46370.0,75620.0,115880.0,2010,all_jobs
SanFran,"San Francisco-Oakland-Fremont, CA",27-2031,Dancers,320.0,26.0,19.74,,9.7,8.84,13.06,20.34,23.6,32.4,,,,,,2010,dancer
SanFran,"San Francisco-Oakland-Fremont, CA",27-2032,Choreographers,500.0,31.3,20.16,41940.0,14.0,10.22,11.44,17.02,24.97,34.5,21250.0,23800.0,35400.0,51930.0,71750.0,2010,choreo
SanFran,"San Francisco-Oakland-Fremont, CA",39-9031,Fitness Trainers and Aerobics Instructors,5360.0,7.6,24.47,50900.0,3.0,12.15,17.42,23.71,31.03,36.95,25260.0,36230.0,49330.0,64550.0,76860.0,2010,fit_trainer
SanFran,"San Francisco-Oakland-Fremont, CA",39-9032,Recreation Workers,5040.0,9.1,14.71,30590.0,3.1,9.21,10.55,13.37,17.63,21.94,19150.0,21940.0,27800.0,36660.0,45630.0,2010,rec_worker
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",00-0000,All Occupations,4169840.0,0.6,23.32,48490.0,1.0,8.88,10.89,17.59,29.45,44.1,18470.0,22660.0,36590.0,61260.0,91730.0,2010,all_jobs
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",27-2031,Dancers,310.0,28.5,14.16,,5.3,9.8,10.53,11.9,17.68,20.09,,,,,,2010,dancer
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",27-2032,Choreographers,160.0,22.5,22.46,46710.0,11.0,9.03,12.39,18.82,34.55,39.22,18780.0,25770.0,39150.0,71870.0,81580.0,2010,choreo
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9031,Fitness Trainers and Aerobics Instructors,8950.0,8.7,17.79,36990.0,6.5,8.35,8.99,13.84,24.74,33.7,17370.0,18710.0,28790.0,51460.0,70090.0,2010,fit_trainer
Chicago,"Chicago-Naperville-Joliet, IL-IN-WI",39-9032,Recreation Workers,12080.0,6.9,11.97,24890.0,2.0,8.51,8.91,10.03,12.95,18.41,17690.0,18530.0,20870.0,26940.0,38300.0,2010,rec_worker
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,All Occupations,8101890.0,0.3,26.48,55080.0,0.5,8.95,12.31,19.98,33.19,50.85,18610.0,25610.0,41550.0,69040.0,105770.0,2010,all_jobs
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2031,Dancers,1710.0,14.9,24.78,,5.7,10.57,15.7,22.41,31.7,42.09,,,,,,2010,dancer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2032,Choreographers,190.0,28.6,33.91,70520.0,5.6,18.88,29.83,35.01,40.25,47.1,39270.0,62050.0,72820.0,83730.0,97960.0,2010,choreo
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9031,Fitness Trainers and Aerobics Instructors,19150.0,7.1,26.11,54310.0,3.7,8.94,15.25,25.1,36.09,45.17,18590.0,31710.0,52210.0,75070.0,93950.0,2010,fit_trainer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9032,Recreation Workers,22550.0,4.8,13.5,28080.0,1.5,8.21,9.8,11.94,15.96,21.21,17070.0,20390.0,24840.0,33190.0,44110.0,2010,rec_worker
Seattle,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,1601010.0,0.7,25.57,53180.0,2.4,9.99,13.53,20.64,32.59,47.03,20780.0,28140.0,42930.0,67780.0,97830.0,2010,all_jobs
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2032,Choreographers,,,28.69,59670.0,16.0,15.66,26.13,28.75,31.52,40.72,32580.0,54360.0,59810.0,65560.0,84700.0,2010,choreo
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9031,Fitness Trainers and Aerobics Instructors,4220.0,9.6,18.83,39160.0,5.1,9.29,12.05,18.97,22.5,30.66,19320.0,25060.0,39460.0,46810.0,63760.0,2010,fit_trainer
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9032,Recreation Workers,2840.0,10.7,12.98,27000.0,3.0,8.97,9.71,11.72,14.57,18.75,18660.0,20200.0,24390.0,30300.0,39000.0,2010,rec_worker
All,U.S. all,00-0000,All Occupations,128278550.0,0.1,21.74,45230.0,0.1,8.65,10.76,16.57,26.67,41.0,18000.0,22380.0,34460.0,55470.0,85280.0,2011,all_jobs
All,U.S. all,27-2031,Dancers,11240.0,8.2,19.53,,6.6,8.5,9.37,15.06,23.39,33.49,,,,,,2011,dancer
All,U.S. all,27-2032,Choreographers,10870.0,6.5,21.23,44160.0,2.4,9.23,12.76,19.04,27.89,35.61,19190.0,26540.0,39600.0,58010.0,74060.0,2011,choreo
All,U.S. all,39-9031,Fitness Trainers and Aerobics Instructors,231500.0,1.3,17.38,36150.0,0.9,8.33,9.5,14.92,22.18,31.34,17340.0,19750.0,31030.0,46120.0,65180.0,2011,fit_trainer
All,U.S. all,39-9032,Recreation Workers,301840.0,0.9,12.18,25330.0,0.4,8.07,8.85,10.64,14.05,18.56,16780.0,18410.0,22130.0,29230.0,38600.0,2011,rec_worker
LA,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,5209180.0,0.5,24.75,51480.0,0.7,9.01,11.3,18.08,31.2,47.92,18740.0,23510.0,37620.0,64900.0,99680.0,2011,all_jobs
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2031,Dancers,,,13.05,,11.1,8.47,8.8,9.34,17.22,22.38,,,,,,2011,dancer
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2032,Choreographers,990.0,37.6,24.91,51820.0,13.3,11.86,14.02,23.74,32.47,45.4,24660.0,29160.0,49390.0,67530.0,94430.0,2011,choreo
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9031,Fitness Trainers and Aerobics Instructors,7510.0,10.4,21.1,43890.0,4.2,11.11,15.22,18.94,25.08,34.84,23110.0,31660.0,39400.0,52180.0,72480.0,2011,fit_trainer
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9032,Recreation Workers,13310.0,4.7,12.08,25130.0,1.2,8.83,9.78,11.41,13.64,15.99,18360.0,20340.0,23740.0,28380.0,33250.0,2011,rec_worker
SanFran,"San Francisco-Oakland-Fremont, CA",00-0000,All Occupations,1911930.0,0.5,29.51,61370.0,0.8,10.02,13.99,22.81,37.45,57.46,20840.0,29100.0,47440.0,77900.0,119520.0,2011,all_jobs
SanFran,"San Francisco-Oakland-Fremont, CA",27-2031,Dancers,390.0,27.3,20.54,,8.3,9.1,15.87,20.09,23.59,33.32,,,,,,2011,dancer
SanFran,"San Francisco-Oakland-Fremont, CA",27-2032,Choreographers,750.0,27.4,25.05,52100.0,11.7,10.82,15.11,19.94,33.68,50.07,22500.0,31430.0,41470.0,70050.0,104130.0,2011,choreo
SanFran,"San Francisco-Oakland-Fremont, CA",39-9031,Fitness Trainers and Aerobics Instructors,4980.0,9.9,26.11,54310.0,3.4,11.52,18.22,25.42,33.65,41.91,23970.0,37900.0,52870.0,70000.0,87160.0,2011,fit_trainer
SanFran,"San Francisco-Oakland-Fremont, CA",39-9032,Recreation Workers,5250.0,4.8,14.44,30040.0,3.4,8.94,10.19,12.96,17.7,21.83,18580.0,21200.0,26950.0,36820.0,45410.0,2011,rec_worker
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",00-0000,All Occupations,4209330.0,0.4,23.28,48430.0,0.8,8.99,10.95,17.58,29.29,43.68,18690.0,22780.0,36560.0,60930.0,90840.0,2011,all_jobs
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",27-2031,Dancers,250.0,21.8,12.29,,5.8,8.61,9.19,10.9,15.46,17.41,,,,,,2011,dancer
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",27-2032,Choreographers,,,18.76,39020.0,13.8,8.95,11.85,15.76,21.53,36.74,18610.0,24660.0,32780.0,44790.0,76420.0,2011,choreo
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",39-9031,Fitness Trainers and Aerobics Instructors,9350.0,7.8,16.91,35180.0,6.6,8.63,9.09,12.29,22.76,32.1,17940.0,18900.0,25570.0,47330.0,66780.0,2011,fit_trainer
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",39-9032,Recreation Workers,13020.0,6.3,12.06,25080.0,1.9,8.58,8.95,9.96,13.13,18.73,17850.0,18620.0,20720.0,27300.0,38960.0,2011,rec_worker
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,All Occupations,8180120.0,0.3,27.02,56210.0,0.5,9.0,12.39,20.36,34.01,52.42,18720.0,25780.0,42350.0,70750.0,109030.0,2011,all_jobs
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2031,Dancers,2220.0,28.0,31.15,,16.6,11.1,15.34,24.51,33.67,50.26,,,,,,2011,dancer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2032,Choreographers,200.0,21.5,33.18,69010.0,7.4,18.78,21.73,32.93,42.26,51.03,39060.0,45210.0,68490.0,87890.0,106150.0,2011,choreo
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9031,Fitness Trainers and Aerobics Instructors,17720.0,6.6,27.01,56190.0,4.3,9.12,15.46,26.07,37.46,47.61,18960.0,32160.0,54230.0,77920.0,99030.0,2011,fit_trainer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9032,Recreation Workers,23770.0,4.8,14.09,29300.0,1.6,8.31,9.72,12.39,17.03,22.43,17270.0,20220.0,25780.0,35420.0,46650.0,2011,rec_worker
Seattle,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,1624590.0,0.7,26.32,54750.0,2.4,10.17,13.92,21.27,33.76,48.61,21150.0,28960.0,44240.0,70220.0,101120.0,2011,all_jobs
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9031,Fitness Trainers and Aerobics Instructors,5110.0,16.8,20.64,42920.0,4.1,10.26,15.12,20.35,24.31,32.23,21340.0,31450.0,42320.0,50570.0,67030.0,2011,fit_trainer
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9032,Recreation Workers,2790.0,9.9,13.61,28310.0,2.8,9.08,9.77,11.73,14.95,21.32,18890.0,20320.0,24400.0,31090.0,44330.0,2011,rec_worker
All,U.S. all,00-0000,All Occupations,130287700,0.1,22.01,45790.0,0.1,8.7,10.81,16.71,27.02,41.74,18090.0,22480.0,34750.0,56200.0,86810.0,2012,all_jobs
All,U.S. all,27-2031,Dancers,11390,6.2,19.02,,5.8,8.5,9.46,14.16,23.04,33.34,,,,,,2012,dancer
All,U.S. all,27-2032,Choreographers,7400,7.8,21.6,44930.0,3.6,9.41,12.72,18.33,27.88,39.28,19560.0,26460.0,38120.0,57980.0,81710.0,2012,choreo
All,U.S. all,39-9031,Fitness Trainers and Aerobics Instructors,234070,1.4,17.74,36900.0,0.9,8.48,9.76,15.25,22.72,31.99,17630.0,20310.0,31720.0,47250.0,66530.0,2012,fit_trainer
All,U.S. all,39-9032,Recreation Workers,309730,0.9,12.22,25430.0,0.4,8.13,8.89,10.69,14.13,18.63,16900.0,18480.0,22240.0,29400.0,38750.0,2012,rec_worker
LA,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,5282160,0.5,25.0,51990.0,0.6,9.01,11.32,18.24,31.8,48.69,18730.0,23550.0,37940.0,66150.0,101280.0,2012,all_jobs
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2031,Dancers,970,30.7,14.46,,10.8,8.46,8.85,9.65,18.54,23.46,,,,,,2012,dancer
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2032,Choreographers,600,39.5,32.15,66870.0,11.5,12.9,14.26,30.82,49.1,55.14,26820.0,29660.0,64100.0,102120.0,114690.0,2012,choreo
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9031,Fitness Trainers and Aerobics Instructors,7560,11.7,22.05,45860.0,3.8,9.55,14.93,20.19,27.44,38.18,19860.0,31060.0,42000.0,57080.0,79420.0,2012,fit_trainer
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9032,Recreation Workers,12440,5.1,12.26,25490.0,1.1,8.91,9.95,11.54,13.72,16.64,18530.0,20690.0,24010.0,28530.0,34610.0,2012,rec_worker
SanFran,"San Francisco-Oakland-Fremont, CA",00-0000,All Occupations,1971780,0.6,30.13,62680.0,0.8,10.0,14.07,23.25,38.81,59.13,20800.0,29260.0,48370.0,80730.0,122980.0,2012,all_jobs
SanFran,"San Francisco-Oakland-Fremont, CA",27-2031,Dancers,550,29.1,17.45,,10.3,9.34,10.73,18.2,21.54,24.73,,,,,,2012,dancer
SanFran,"San Francisco-Oakland-Fremont, CA",27-2032,Choreographers,640,36.9,26.15,54390.0,13.8,10.73,15.08,21.79,35.7,51.03,22320.0,31370.0,45320.0,74260.0,106140.0,2012,choreo
SanFran,"San Francisco-Oakland-Fremont, CA",39-9031,Fitness Trainers and Aerobics Instructors,4670,10.7,28.02,58280.0,3.5,10.38,18.24,27.92,36.77,46.29,21600.0,37950.0,58070.0,76480.0,96270.0,2012,fit_trainer
SanFran,"San Francisco-Oakland-Fremont, CA",39-9032,Recreation Workers,6790,5.8,13.58,28240.0,2.6,8.56,9.31,11.99,16.37,20.93,17800.0,19370.0,24940.0,34040.0,43540.0,2012,rec_worker
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",00-0000,All Occupations,4276280,0.4,23.62,49120.0,0.9,9.01,10.96,17.71,29.88,44.45,18750.0,22800.0,36830.0,62150.0,92450.0,2012,all_jobs
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",27-2031,Dancers,310,21.2,16.3,,8.5,8.87,10.3,15.53,20.67,26.69,,,,,,2012,dancer
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",27-2032,Choreographers,160,27.6,20.19,42000.0,15.9,9.27,12.87,18.44,25.25,36.46,19280.0,26780.0,38360.0,52510.0,75830.0,2012,choreo
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",39-9031,Fitness Trainers and Aerobics Instructors,13010,8.5,15.49,32220.0,5.5,8.6,8.97,10.75,19.77,28.94,17900.0,18660.0,22360.0,41120.0,60190.0,2012,fit_trainer
Chicago,"Chicago-Joliet-Naperville, IL-IN-WI",39-9032,Recreation Workers,12740,4.8,12.03,25030.0,1.4,8.6,8.98,10.22,13.49,18.32,17900.0,18690.0,21260.0,28050.0,38100.0,2012,rec_worker
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,All Occupations,8305030,0.3,27.38,56940.0,0.5,9.02,12.38,20.51,34.61,53.39,18770.0,25760.0,42660.0,71980.0,111060.0,2012,all_jobs
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2031,Dancers,1930,19.6,30.02,,15.8,10.07,13.42,25.17,33.57,42.91,,,,,,2012,dancer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2032,Choreographers,150,11.3,31.46,65450.0,7.3,15.56,20.72,30.48,44.86,52.63,32360.0,43090.0,63410.0,93310.0,109470.0,2012,choreo
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9031,Fitness Trainers and Aerobics Instructors,16740,6.9,27.04,56250.0,4.7,10.48,16.11,26.1,35.86,47.44,21790.0,33520.0,54290.0,74580.0,98670.0,2012,fit_trainer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9032,Recreation Workers,24850,5.0,14.11,29360.0,1.5,8.31,9.72,12.56,17.19,22.37,17270.0,20220.0,26130.0,35740.0,46530.0,2012,rec_worker
Seattle,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,1664990,0.8,26.87,55890.0,2.4,10.23,13.93,21.52,34.62,50.45,21270.0,28980.0,44750.0,72000.0,104930.0,2012,all_jobs
